SYMBOL,COUNTRY,WEBSITE,INDUSTRY,SECTOR
PEN,United States,https://www.penumbrainc.com,Medical Devices,Healthcare
CODX,United States,https://www.codiagnostics.com,Medical Devices,Healthcare
CMCL,Jersey,https://www.caledoniamining.com,Gold,Basic Materials
NATL,United States,https://www.ncratleos.com,Software—Application,Technology
ROLR,United States,https://www.highroller.com,Gambling,Consumer Cyclical
FMST,Canada,https://foremostcleanenergy.com,Other Industrial Metals & Mining,Basic Materials
ALG,United States,https://www.alamo-group.com,Farm & Heavy Construction Machinery,Industrials
RNA,United States,https://www.aviditybiosciences.com,Biotechnology,Healthcare
ZUMZ,United States,https://www.zumiez.com,Apparel Retail,Consumer Cyclical
WSO-B,United States,https://www.watsco.com,Industrial Distribution,Industrials
BENFW,United States,https://www.trustben.com,Asset Management,Financial Services
MAIA,United States,https://maiabiotech.com,Biotechnology,Healthcare
CVE,Canada,https://www.cenovus.com,Oil & Gas Integrated,Energy
NXC,United States,https://www.nuveen.com/CEF/Product/Overview.aspx?FundCode=NXC&refsrc=vu_nuveen.com/nxc,Asset Management,Financial Services
FDS,United States,https://www.factset.com,Financial Data & Stock Exchanges,Financial Services
EOLS,United States,https://www.evolus.com,Drug Manufacturers—Specialty & Generic,Healthcare
CGTL,Hong Kong,https://cgt-electronics.com,Specialty Retail,Consumer Cyclical
SNDA,United States,https://www.sonidaseniorliving.com,Medical Care Facilities,Healthcare
ALLY,United States,https://www.ally.com,Credit Services,Financial Services
WRAP,United States,https://www.wrap.com,Scientific & Technical Instruments,Technology
GMM,China,https://www.globalmofy.cn,Information Technology Services,Technology
AIMAU,United States,,Shell Companies,Financial Services
AER,Ireland,https://www.aercap.com,Rental & Leasing Services,Industrials
CACI,United States,https://www.caci.com,Information Technology Services,Technology
DLY,United States,,,
SEG,United States,,Real Estate Services,Real Estate
SHYF,United States,https://www.theshyftgroup.com,Farm & Heavy Construction Machinery,Industrials
IVT,United States,https://www.inventrustproperties.com,REIT—Retail,Real Estate
AVB,United States,https://www.avalonbay.com,REIT—Residential,Real Estate
TSI,United States,https://www.tcw.com/Funds/Closed_End_Funds/TSI_Fund.aspx,Asset Management,Financial Services
AHT,United States,https://www.ahtreit.com,REIT—Hotel & Motel,Real Estate
MYD,United States,https://www.blackrock.com/investing/products/240208/blackrock-muniyield-fund-inc-usd-fund,Asset Management,Financial Services
CING,United States,https://www.cingulate.com,Biotechnology,Healthcare
SBET,United States,https://www.sharplink.com,Gambling,Consumer Cyclical
AMKR,United States,https://amkor.com,Semiconductor Equipment & Materials,Technology
CPIX,United States,https://www.cumberlandpharma.com,Drug Manufacturers—Specialty & Generic,Healthcare
EXEEZ,United States,https://www.expandenergy.com,Oil & Gas E&P,Energy
CCD,United States,https://www.calamos.com/FundInvestor/ClosedEndFunds/CEFund.aspx?name=CCD,Asset Management,Financial Services
KIRK,United States,https://www.kirklands.com,Home Improvement Retail,Consumer Cyclical
AMST,United States,https://www.amesite.com,Software—Application,Technology
AGNC,United States,https://www.agnc.com,REIT—Mortgage,Real Estate
MS,United States,https://www.morganstanley.com,Capital Markets,Financial Services
BG,United States,https://www.bunge.com,Farm Products,Consumer Defensive
EIG,United States,https://www.employers.com,Insurance—Specialty,Financial Services
UFI,United States,https://unifi.com,Textile Manufacturing,Consumer Cyclical
GSMGW,China,https://ir.gsmg.co,Advertising Agencies,Communication Services
IGTA,United States,https://www.inceptiongrowth1.com,Shell Companies,Financial Services
YHGJ,United States,https://www.ctiindustries.com,Packaging & Containers,Consumer Cyclical
XYF,China,https://www.xiaoyinggroup.com,Credit Services,Financial Services
EQX,Canada,https://www.equinoxgold.com,Gold,Basic Materials
LEGT,United States,https://legatomerger.com,Shell Companies,Financial Services
QTI,United States,https://www.qtimaging.com,Medical Devices,Healthcare
VLN,Israel,https://www.valens.com,Semiconductors,Technology
MPLN,United States,https://www.multiplan.us,Health Information Services,Healthcare
DTST,United States,https://www.dtst.com,Information Technology Services,Technology
JWN,United States,https://press.nordstrom.com,Department Stores,Consumer Cyclical
BPOP,United States,https://www.popular.com,Banks—Regional,Financial Services
SKYQ,United States,https://skyquarry.com,Oil & Gas Integrated,Energy
SSB,United States,https://www.southstatebank.com,Banks—Regional,Financial Services
WKEY,Switzerland,https://www.wisekey.com,Semiconductors,Technology
MIR,United States,https://www.mirion.com,Specialty Industrial Machinery,Industrials
FTHY,United States,,,
EOI,United States,https://funds.eatonvance.com/Enhanced-Equity-Income-Fund-EOI.php,Asset Management,Financial Services
LC,United States,https://www.lendingclub.com,Banks—Regional,Financial Services
ELDN,United States,https://eledon.com,Biotechnology,Healthcare
SGRY,United States,https://www.surgerypartners.com,Medical Care Facilities,Healthcare
SNA,United States,https://www.snapon.com,Tools & Accessories,Industrials
DLX,United States,https://www.deluxe.com,Conglomerates,Industrials
KALA,United States,https://www.kalarx.com,Biotechnology,Healthcare
PRK,United States,https://www.parknationalcorp.com,Banks—Regional,Financial Services
PENN,United States,https://www.pennentertainment.com,Resorts & Casinos,Consumer Cyclical
IBP,United States,https://www.installedbuildingproducts.com,Residential Construction,Consumer Cyclical
DBL,United States,https://www.doubleline.com/opp-credit-fund-overview.php,Asset Management,Financial Services
IKT,United States,https://www.inhibikase.com,Biotechnology,Healthcare
STKS,United States,https://togrp.com,Restaurants,Consumer Cyclical
PEGA,United States,https://www.pega.com,Software—Application,Technology
GILT,Israel,https://www.gilat.com,Communication Equipment,Technology
HBCP,United States,https://www.home24bank.com,Banks—Regional,Financial Services
CARG,United States,https://www.cargurus.com,Auto & Truck Dealerships,Consumer Cyclical
RENEW,United States,https://www.cartesiangrowth.com/cgc2,Shell Companies,Financial Services
PLXS,United States,https://www.plexus.com,Electronic Components,Technology
PASG,United States,https://www.passagebio.com,Biotechnology,Healthcare
PBF,United States,https://www.pbfenergy.com,Oil & Gas Refining & Marketing,Energy
NNE,United States,https://nanonuclearenergy.com,Specialty Industrial Machinery,Industrials
ENLT,Israel,https://www.enlightenergy.co.il,Utilities—Renewable,Utilities
SIFY,India,https://www.sifytechnologies.com,Telecom Services,Communication Services
VTN,United States,https://www.invesco.com/portal/site/us/investors/closed-end/product-detail?productId=30628,Asset Management,Financial Services
WMS,United States,https://www.adspipe.com,Building Products & Equipment,Industrials
QGEN,Netherlands,https://www.qiagen.com,Diagnostics & Research,Healthcare
NVRI,United States,https://www.enviri.com,Waste Management,Industrials
CCB,United States,https://www.coastalbank.com,Banks—Regional,Financial Services
MITAW,United States,https://www.coliseumacq.com,Shell Companies,Financial Services
OGI,Canada,https://www.organigram.ca,Drug Manufacturers—Specialty & Generic,Healthcare
AILE,United States,https://ilearningengines.com,Software—Infrastructure,Technology
WIA,United States,https://guggenheiminvestments.com/products/cef/wia,Asset Management,Financial Services
SLXNW,Israel,https://silexion.com,Biotechnology,Healthcare
PBM,Canada,https://www.psyencebiomed.com,Biotechnology,Healthcare
JACK,United States,https://www.jackinthebox.com,Restaurants,Consumer Cyclical
ICAD,United States,https://www.icadmed.com,Medical Devices,Healthcare
RNXT,United States,https://renovorx.com,Biotechnology,Healthcare
SLF,Canada,https://www.sunlife.com,Insurance—Diversified,Financial Services
PRLH,United States,https://pearlhac.com,Shell Companies,Financial Services
ESGRP,Bermuda,https://www.enstargroup.com,Insurance—Diversified,Financial Services
AKA,United States,https://www.aka-brands.com,Apparel Retail,Consumer Cyclical
ZOM,United States,https://www.zomedica.com,Medical Devices,Healthcare
ALLT,Israel,https://www.allot.com,Software—Infrastructure,Technology
MSD,United States,https://www.morganstanley.com/msim/portal/site/US/template.PAGE/?msimPageTitle=productdetail_us_fp_ii&u=a2050c555a53daf33d3afb1051a9e009&fund=1130&sc=NO,Asset Management,Financial Services
AGS,United States,https://www.playags.com,Gambling,Consumer Cyclical
ING,Netherlands,https://www.ing.com,Banks—Diversified,Financial Services
MDU,United States,https://www.mdu.com,Conglomerates,Industrials
CMMB,Israel,https://www.chemomab.com,Biotechnology,Healthcare
UA,United States,https://www.underarmour.com,Apparel Manufacturing,Consumer Cyclical
DOCS,United States,https://www.doximity.com,Health Information Services,Healthcare
MXC,United States,https://www.mexcoenergy.com,Oil & Gas E&P,Energy
EURKU,Cayman Islands,,Shell Companies,Financial Services
BNTC,United States,https://benitec.com,Biotechnology,Healthcare
FKWL,United States,https://www.franklinwireless.com,Communication Equipment,Technology
HP,United States,https://www.helmerichpayne.com,Oil & Gas Drilling,Energy
NTES,China,https://netease.gcs-web.com,Electronic Gaming & Multimedia,Communication Services
ZDGE,United States,https://www.zedge.net,Internet Content & Information,Communication Services
CORZZ,United States,https://corescientific.com,Software—Infrastructure,Technology
HIMS,United States,https://www.forhims.com,Household & Personal Products,Consumer Defensive
BLCO,Canada,https://www.bausch.com,Medical Instruments & Supplies,Healthcare
ROKU,United States,https://www.roku.com,Entertainment,Communication Services
DNN,Canada,https://denisonmines.com,Uranium,Energy
NSC,United States,https://www.norfolksouthern.com,Railroads,Industrials
CNSL,United States,https://www.consolidated.com,Telecom Services,Communication Services
FHB,United States,https://www.fhb.com,Banks—Regional,Financial Services
NEON,Sweden,https://www.neonode.com,Electronic Components,Technology
GDSTU,United States,,Shell Companies,Financial Services
WGO,United States,https://www.winnebagoind.com,Recreational Vehicles,Consumer Cyclical
ALTO,United States,https://www.altoingredients.com,Specialty Chemicals,Basic Materials
QLGN,United States,https://www.qlgntx.com,Biotechnology,Healthcare
KMT,United States,https://www.kennametal.com,Tools & Accessories,Industrials
WAY,United States,https://waystar.com,Health Information Services,Healthcare
PK,United States,https://www.pkhotelsandresorts.com,REIT—Hotel & Motel,Real Estate
TXT,United States,https://www.textron.com,Aerospace & Defense,Industrials
UDR,United States,https://www.udr.com,REIT—Residential,Real Estate
MNSBP,United States,https://mstreetbank.com,Banks—Regional,Financial Services
BUJAU,Malaysia,,Shell Companies,Financial Services
LIDR,United States,https://www.aeye.ai,Software—Infrastructure,Technology
GCV,United States,https://www.gabelli.com/Template/fundinfo.cfm?tid=ZTQ4&bid=NmU0Mw==&mid=ZmRjOA==&num=MzcyZjg=&kid=NjNhODI=&fid=MzU2ZDI=&rid=704=edoc_dnuf,Asset Management,Financial Services
FHTX,United States,https://foghorntx.com,Biotechnology,Healthcare
AUTL,United Kingdom,https://www.autolus.com,Biotechnology,Healthcare
UAA,United States,https://www.underarmour.com,Apparel Manufacturing,Consumer Cyclical
IBKR,United States,https://www.interactivebrokers.com,Capital Markets,Financial Services
CTAS,United States,https://www.cintas.com,Specialty Business Services,Industrials
PKST,United States,https://pkst.com,REIT—Office,Real Estate
DAVA,United Kingdom,https://www.endava.com,Software—Infrastructure,Technology
GDL,United States,https://www.gabelli.com/Template/fundinfo.cfm?tid=NTZiMA==&bid=YmQ2YQ==&mid=NDBmYzc=&num=MTQzNTI=&kid=NWI5MWE=&fid=Njk0NzA=&rid=711-=edoc_dnuf,Asset Management,Financial Services
APPN,United States,https://www.appian.com,Software—Infrastructure,Technology
J,United States,https://www.jacobs.com,Engineering & Construction,Industrials
STR,United States,https://www.sitio.com,Oil & Gas E&P,Energy
ATMC,United States,,Shell Companies,Financial Services
RGLS,United States,https://www.regulusrx.com,Biotechnology,Healthcare
HCC,United States,https://warriormetcoal.com,Coking Coal,Basic Materials
MXCT,United States,https://www.maxcyte.com,Medical Devices,Healthcare
LBTYB,Bermuda,https://www.libertyglobal.com,Telecom Services,Communication Services
DWSN,United States,https://www.dawson3d.com,Oil & Gas Equipment & Services,Energy
PINE,United States,https://www.alpinereit.com,REIT—Retail,Real Estate
BHM,United States,https://bluerock.com/bluerock-homes-trust/,REIT—Residential,Real Estate
CLPT,United States,https://www.clearpointneuro.com,Medical Devices,Healthcare
RPID,United States,https://www.rapidmicrobio.com,Medical Devices,Healthcare
SPXC,United States,https://www.spx.com,Building Products & Equipment,Industrials
ODP,United States,https://www.theodpcorp.com,Specialty Retail,Consumer Cyclical
TRMD,United Kingdom,https://www.torm.com,Oil & Gas Midstream,Energy
LGMK,United States,https://www.logicmark.com,Health Information Services,Healthcare
EVC,United States,https://www.entravision.com,Advertising Agencies,Communication Services
ET,United States,https://energytransfer.com,Oil & Gas Midstream,Energy
LPTX,United States,https://www.leaptx.com,Biotechnology,Healthcare
MHH,United States,https://www.mastechdigital.com,Staffing & Employment Services,Industrials
RF,United States,https://www.regions.com,Banks—Regional,Financial Services
FTK,United States,https://www.flotekind.com,Oil & Gas Equipment & Services,Energy
INDV,United States,https://www.indivior.com,Drug Manufacturers—Specialty & Generic,Healthcare
ADXN,Switzerland,https://www.addextherapeutics.com,Biotechnology,Healthcare
COCHW,United States,https://www.envoymedical.com,Medical Devices,Healthcare
CLM,United States,https://www.cornerstonestrategicvaluefund.com,Asset Management,Financial Services
ATER,United States,https://www.aterian.io,"Furnishings, Fixtures & Appliances",Consumer Cyclical
MULN,United States,https://www.mullenusa.com,Auto Manufacturers,Consumer Cyclical
BME,United States,https://www.blackrock.com/investing/products/240227/blackrock-health-sciences-trust-usd-fund,Asset Management,Financial Services
AI,United States,https://www.c3.ai,Software—Application,Technology
NXPI,Netherlands,https://www.nxp.com,Semiconductors,Technology
PFD,United States,https://www.preferredincome.com/pfd.htm,Asset Management,Financial Services
CTRA,United States,https://www.coterra.com,Oil & Gas E&P,Energy
RMD,United States,https://www.resmed.com,Medical Instruments & Supplies,Healthcare
CNNE,United States,https://www.cannaeholdings.com,Restaurants,Consumer Cyclical
SSYS,United States,https://www.stratasys.com,Computer Hardware,Technology
FG,United States,https://www.fglife.com,Insurance—Life,Financial Services
ADVM,United States,https://adverum.com,Biotechnology,Healthcare
LWLG,United States,https://lightwavelogic.com,Specialty Chemicals,Basic Materials
WF,South Korea,https://www.woorifg.com,Banks—Regional,Financial Services
STBA,United States,https://www.stbancorp.com,Banks—Regional,Financial Services
FLG,United States,https://www.flagstar.com,Banks—Regional,Financial Services
VLT,United States,https://www.invesco.com/portal/site/us/investors/closed-end/product-detail?productId=30541,Asset Management,Financial Services
CSCI,Canada,https://www.cosciensbio.com,Biotechnology,Healthcare
ASPI,United States,https://aspisotopes.com,Chemicals,Basic Materials
HQL,United States,,Asset Management,Financial Services
EQH,United States,https://www.equitableholdings.com,Insurance—Diversified,Financial Services
COST,United States,https://www.costco.com,Discount Stores,Consumer Defensive
RMBL,United States,https://www.rumbleon.com,Auto & Truck Dealerships,Consumer Cyclical
BRAG,Canada,https://bragg.group,Gambling,Consumer Cyclical
ATOM,United States,https://atomera.com,Semiconductor Equipment & Materials,Technology
GPUS,United States,https://ault.com,Aerospace & Defense,Industrials
PMNT,United Kingdom,https://www.perfectmoment.com,Apparel Manufacturing,Consumer Cyclical
CVS,United States,https://www.cvshealth.com,Healthcare Plans,Healthcare
THO,United States,https://www.thorindustries.com,Recreational Vehicles,Consumer Cyclical
RBA,United States,https://rbglobal.com,Specialty Business Services,Industrials
ZM,United States,https://www.zoom.us,Software—Application,Technology
PLRZ,Israel,https://www.polyrizon-biotech.com,Biotechnology,Healthcare
PCAR,United States,https://www.paccar.com,Farm & Heavy Construction Machinery,Industrials
SGMT,United States,https://www.sagimet.com,Biotechnology,Healthcare
HST,United States,https://www.hosthotels.com,REIT—Hotel & Motel,Real Estate
UVV,United States,https://www.universalcorp.com,Tobacco,Consumer Defensive
AWRE,United States,https://www.aware.com,Software—Application,Technology
C,United States,https://www.citigroup.com,Banks—Diversified,Financial Services
NBR,Bermuda,https://www.nabors.com,Oil & Gas Drilling,Energy
IIIV,United States,https://www.i3verticals.com,Software—Infrastructure,Technology
DRI,United States,https://www.darden.com,Restaurants,Consumer Cyclical
SRZNW,United States,https://www.surrozen.com,Biotechnology,Healthcare
VMAR,Canada,https://www.visionmarinetechnologies.com,Recreational Vehicles,Consumer Cyclical
STKH,Israel,https://steakholderfoods.com,Packaged Foods,Consumer Defensive
AEM,Canada,https://www.agnicoeagle.com,Gold,Basic Materials
FIBK,United States,https://www.fibk.com,Banks—Regional,Financial Services
ICHR,United States,https://www.ichorsystems.com,Semiconductor Equipment & Materials,Technology
OR,Canada,https://www.osiskogr.com,Gold,Basic Materials
NTRP,United States,https://www.nexttrip.com,Travel Services,Consumer Cyclical
AOD,United Kingdom,https://www.alpinefunds.com/default.asp?P=856340&S=857569,Asset Management,Financial Services
PL,United States,https://www.planet.com,Aerospace & Defense,Industrials
NAAS,China,https://www.enaas.com/en/,Specialty Retail,Consumer Cyclical
MGLD,United States,https://themarygoldcompanies.com,Asset Management,Financial Services
GOLD,Canada,https://www.barrick.com,Gold,Basic Materials
CII,United States,https://www.blackrock.com/investing/products/240242/blackrock-enhanced-capital-and-income-fund-inc-usd-fund,Asset Management,Financial Services
CBFV,United States,https://www.communitybank.tv,Banks—Regional,Financial Services
CPRI,United Kingdom,https://www.capriholdings.com,Luxury Goods,Consumer Cyclical
HCA,United States,https://www.hcahealthcare.com,Medical Care Facilities,Healthcare
DMB,United States,,Asset Management,Financial Services
CZR,United States,https://www.caesars.com,Resorts & Casinos,Consumer Cyclical
CLSKW,United States,https://www.cleanspark.com,Capital Markets,Financial Services
